1,SFG_L_7_1,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ","A8m, medial area 8"
2,SFG_R_7_1,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ","A8m, medial area 8"
3,SFG_L_7_2,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ","A8dl, dorsolateral area 8"
4,SFG_R_7_2,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ","A8dl, dorsolateral area 8"
5,SFG_L_7_3,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ","A9l, lateral area 9"
6,SFG_R_7_3,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ","A9l, lateral area 9"
7,SFG_L_7_4,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ","A6dl, dorsolateral area 6"
8,SFG_R_7_4,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ","A6dl, dorsolateral area 6"
9,SFG_L_7_5,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ","A6m, medial area 6"
10,SFG_R_7_5,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ","A6m, medial area 6"
11,SFG_L_7_6,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ","A9m,medial area 9"
12,SFG_R_7_6,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ","A9m,medial area 9"
13,SFG_L_7_7,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ","A10m, medial area 10"
14,SFG_R_7_7,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ","A10m, medial area 10"
15,MFG_L_7_1,Frontal Lobe ,"MFG, Middle Frontal Gyrus ","A9/46d, dorsal area 9/46"
16,MFG_R_7_1,Frontal Lobe ,"MFG, Middle Frontal Gyrus ","A9/46d, dorsal area 9/46"
17,MFG_L_7_2,Frontal Lobe ,"MFG, Middle Frontal Gyrus ","IFJ, inferior frontal junction"
18,MFG_R_7_2,Frontal Lobe ,"MFG, Middle Frontal Gyrus ","IFJ, inferior frontal junction"
19,MFG_L_7_3,Frontal Lobe ,"MFG, Middle Frontal Gyrus ","A46, area 46"
20,MFG_R_7_3,Frontal Lobe ,"MFG, Middle Frontal Gyrus ","A46, area 46"
21,MFG_L_7_4,Frontal Lobe ,"MFG, Middle Frontal Gyrus ","A9/46v, ventral area 9/46 "
22,MFG_R_7_4,Frontal Lobe ,"MFG, Middle Frontal Gyrus ","A9/46v, ventral area 9/46 "
23,MFG_L_7_5,Frontal Lobe ,"MFG, Middle Frontal Gyrus ","A8vl, ventrolateral area 8"
24,MFG_R_7_5,Frontal Lobe ,"MFG, Middle Frontal Gyrus ","A8vl, ventrolateral area 8"
25,MFG_L_7_6,Frontal Lobe ,"MFG, Middle Frontal Gyrus ","A6vl, ventrolateral area 6"
